x,y,z,yaw,x desired,y desired,z desired,yaw desired,time
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.7738199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.8243999
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.87482
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.9244101
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564159.9741001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.0234399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.07357
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.12307
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.1791501
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.2618201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.2746301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.3744099
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.3745699
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.4231
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.49033
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.5259399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.6029999
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.62479
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.6736
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.72438
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.7732699
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.8314199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.8734801
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.9230599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564160.97367
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.0236299
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.07338
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.12271
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.1731601
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.2230401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.27405
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.3394499
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.37359
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.4232099
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.47486
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.53508
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.6640699
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.66435
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.67416
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.72281
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.77879
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.8703001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.8742599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564161.9251499
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.0230899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.0234599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.0745001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.1245699
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.1731501
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.22293
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.27441
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.32411
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.3812599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.43663
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.4729199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.5843899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.5866499
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.6234601
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.6740799
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.72368
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.77546
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.8232901
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.8746901
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.9238999
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564162.9739699
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.02548
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.0736301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.1233399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.1735301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.2244401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.3215899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.32318
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.3780899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.4245601
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.4944899
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.5232401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.57288
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.64062
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.6735201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.7551501
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.78251
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.82306
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.8740201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.92347
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564163.9946499
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.02373
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.0738399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.1261401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.17309
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.2234299
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.2736199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.3245599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.3731
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.4233799
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.4741399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.5234101
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.6178401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.62356
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.67537
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.7228301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.8188
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.82301
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.8747499
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.9264801
